Domain,Resolved IP(s),Screenshot
pinkcadillac.vatelephone.com,199.244.104.22,screenshots/pinkcadillac_vatelephone_com.png
telegsxza.yachts,"172.67.157.245, 104.21.58.77",None
washomatic.vatelephone.com,199.244.104.22,None
payette.vatelephone.com,199.244.104.22,screenshots/payette_vatelephone_com.png
rockbridgemedical.vatelephone.com,199.244.104.22,screenshots/rockbridgemedical_vatelephone_com.png
pcoffey.vatelephone.com,199.244.104.22,screenshots/pcoffey_vatelephone_com.png
si.vatelephone.com,199.244.104.22,screenshots/si_vatelephone_com.png
paymajor.teleport.authcommon.com,10.35.3.14,None
www.ugwcscanb5f1e347a9933e282dcea5a9e0cc6a83.teleport.dock.chocolatecoded.com.au,54.206.68.30,screenshots/www_ugwcscanb5f1e347a9933e282dcea5a9e0cc6a83_teleport_dock_chocolatecoded_com_au.png
kordontelepites.hu,51.195.44.174,screenshots/kordontelepites_hu.png
telegdfcr.black,"188.114.96.7, 188.114.97.7",screenshots/telegdfcr_black.png
telegxasw.beauty,"104.21.80.1, 104.21.64.1, 104.21.16.1, 104.21.96.1, 104.21.32.1, 104.21.48.1, 104.21.112.1",None
xvideostelegram.blog,"188.114.97.7, 188.114.96.7",screenshots/xvideostelegram_blog.png
www.pop3.mietertelegramm.de,185.53.177.53,screenshots/www_pop3_mietertelegramm_de.png
jenkins.a.www.www.www.teleport.dock.chocolatecoded.com.au,54.206.68.30,screenshots/jenkins_a_www_www_www_teleport_dock_chocolatecoded_com_au.png
f1hasmjy.1-telegram.org,"172.233.219.78, 172.233.219.123, 172.233.219.49",screenshots/f1hasmjy_1-telegram_org.png
m.app.telegroup.ch,"76.223.26.96, 13.248.148.254",screenshots/m_app_telegroup_ch.png
admin.app.teleporada.org,"76.223.26.96, 13.248.148.254",screenshots/admin_app_teleporada_org.png
dev.app.telegroup.ch,"13.248.148.254, 76.223.26.96",screenshots/dev_app_telegroup_ch.png
staging.b60fc075-963a-4d87-bdd4-f64eff6f02c1.relitelegal.in,75.2.115.196,screenshots/staging_b60fc075-963a-4d87-bdd4-f64eff6f02c1_relitelegal_in.png
dev.b60fc075-963a-4d87-bdd4-f64eff6f02c1.relitelegal.in,75.2.115.196,screenshots/dev_b60fc075-963a-4d87-bdd4-f64eff6f02c1_relitelegal_in.png
test.b60fc075-963a-4d87-bdd4-f64eff6f02c1.relitelegal.in,75.2.115.196,screenshots/test_b60fc075-963a-4d87-bdd4-f64eff6f02c1_relitelegal_in.png
dev.b60fc075-963a-4d87-bdd4-f64eff6f02c1.relitelegal.in,75.2.115.196,screenshots/dev_b60fc075-963a-4d87-bdd4-f64eff6f02c1_relitelegal_in.png
m.backend.teleglobe.ca,185.53.178.50,screenshots/m_backend_teleglobe_ca.png
test.backend.teleglobe.ca,185.53.178.50,screenshots/test_backend_teleglobe_ca.png
teleport-admin.dqrts.staging.novobi.com,48.217.201.59,screenshots/teleport-admin_dqrts_staging_novobi_com.png
test.backend.teleglobe.ca,185.53.178.50,screenshots/test_backend_teleglobe_ca.png
www.telegram.gold,"13.248.169.48, 76.223.54.146",screenshots/www_telegram_gold.png
telegqaws.social,"104.21.16.1, 104.21.80.1, 104.21.112.1, 104.21.48.1, 104.21.32.1, 104.21.96.1, 104.21.64.1",screenshots/telegqaws_social.png
www.telegram.gold,"76.223.54.146, 13.248.169.48",screenshots/www_telegram_gold.png
staging.app.antiquetelephones.com,185.53.178.52,screenshots/staging_app_antiquetelephones_com.png
telegazqw.shopping,"104.21.84.74, 172.67.188.164",None
ugwcscan6abae51a1933fdd0e607017259542e27.a.teleport.dock.chocolatecoded.com.au,54.206.68.30,screenshots/ugwcscan6abae51a1933fdd0e607017259542e27_a_teleport_dock_chocolatecoded_com_au.png
api.teleportravel.com,78.47.207.167,screenshots/api_teleportravel_com.png
crm.teleperformance.com.eg,20.105.43.251,screenshots/crm_teleperformance_com_eg.png
www.crm.teleperformance.com.eg,,None
crm.teleperformance.com.eg,20.105.43.251,screenshots/crm_teleperformance_com_eg.png
www.crm.teleperformance.com.eg,,None
telegazqw.blue,"172.67.155.139, 104.21.56.189",None
www.cpcalendars.xn--teleprsenz-v5a.de,185.53.178.53,screenshots/www_cpcalendars_xn--teleprsenz-v5a_de.png
interrock-tg.com,183.90.183.81,screenshots/interrock-tg_com.png
ostrava.teleport.scylla.ai,34.240.135.101,screenshots/ostrava_teleport_scylla_ai.png
telegram-bot.pluton.ltd,173.231.243.117,screenshots/telegram-bot_pluton_ltd.png
www.telegram-bot.pluton.ltd,173.231.243.117,screenshots/www_telegram-bot_pluton_ltd.png
interrock-tg.com,183.90.183.81,screenshots/interrock-tg_com.png
telegwzqs.makeup,"188.114.96.7, 188.114.97.7",screenshots/telegwzqs_makeup.png
dev-01-camera-3-view.swine-teleport-poc.mahi-techlabs.com,52.19.242.195,screenshots/dev-01-camera-3-view_swine-teleport-poc_mahi-techlabs_com.png
crm.teleperformance.com.eg,20.105.43.251,screenshots/crm_teleperformance_com_eg.png
www.crm.teleperformance.com.eg,,None
wx-tgsy.com,"104.21.80.91, 172.67.176.163",screenshots/wx-tgsy_com.png
crm.teleperformance.com.eg,20.105.43.251,screenshots/crm_teleperformance_com_eg.png
www.crm.teleperformance.com.eg,,None
crm.teleperformance.com.eg,20.105.43.251,screenshots/crm_teleperformance_com_eg.png
www.crm.teleperformance.com.eg,,None
telegram.bestsnel.com,35.195.94.178,screenshots/telegram_bestsnel_com.png
6464a1f7-061c-4f23-868f-cf7ae002adad.telegrom.org,185.53.177.51,screenshots/6464a1f7-061c-4f23-868f-cf7ae002adad_telegrom_org.png
ai-telegram-bot.ru,45.80.151.173,screenshots/ai-telegram-bot_ru.png
m.cms.telepointservice.com,15.197.130.221,screenshots/m_cms_telepointservice_com.png
ai-telegram-bot.ru,45.80.151.173,screenshots/ai-telegram-bot_ru.png
telegqwaz.autos,"104.21.32.1, 104.21.64.1, 104.21.96.1, 104.21.16.1, 104.21.112.1, 104.21.80.1, 104.21.48.1",screenshots/telegqwaz_autos.png
telegfvcg.baby,"104.21.51.231, 172.67.190.161",screenshots/telegfvcg_baby.png
notexistsdev.orion.teleglobe.ca,185.53.178.50,screenshots/notexistsdev_orion_teleglobe_ca.png
teleport.local.jalubru.com,,None
ugwcscan29b2f911efa200ed9fd7feb5f155250b.teleport.dock.chocolatecoded.com.au,54.206.68.30,screenshots/ugwcscan29b2f911efa200ed9fd7feb5f155250b_teleport_dock_chocolatecoded_com_au.png
ww25.xwwh.yd10-telegram.org,199.59.243.228,screenshots/ww25_xwwh_yd10-telegram_org.png
pbx.vatelephone.com,199.244.104.22,screenshots/pbx_vatelephone_com.png
ww25.xwwh.yd10-telegram.org,199.59.243.228,screenshots/ww25_xwwh_yd10-telegram_org.png
telegfvcg.pink,"104.21.112.1, 104.21.16.1, 104.21.48.1, 104.21.80.1, 104.21.64.1, 104.21.96.1, 104.21.32.1",None
aigindc2.chu-tgc.com,120.136.10.56,screenshots/aigindc2_chu-tgc_com.png
trade.arztelegraph.com,199.59.243.228,screenshots/trade_arztelegraph_com.png
rahc.vatelephone.com,199.244.104.22,None
ostrava.teleport.scylla.ai,34.240.135.101,screenshots/ostrava_teleport_scylla_ai.png
